Price,Close,High,Low,Open,Volume
Ticker,CVX,CVX,CVX,CVX,CVX
Date,,,,,
1980-12-12,2.265256643295288,2.2998407141852923,2.242200596035285,2.242200596035285,1295200
1980-12-15,2.2681398391723633,2.3027239282067575,2.2623758243332976,2.2652578317528302,582400
1980-12-16,2.3632450103759766,2.3632450103759766,2.2594927904082507,2.2681388087388945,1232800
1980-12-17,2.455469846725464,2.455469846725464,2.3632456271301416,2.3632456271301416,1080800
1980-12-18,2.4208860397338867,2.490054212297712,2.4208860397338867,2.455470126015799,3237600
1980-12-19,2.4093563556671143,2.452586433819036,2.3978283348266016,2.420884376507627,688000
1980-12-22,2.426650285720825,2.443942330512185,2.3978302110685585,2.4093582409294654,972000
1980-12-23,2.3834195137023926,2.4266496137090865,2.3776555003681668,2.4266496137090865,2247200
1980-12-24,2.3113691806793213,2.374773322792719,2.3056051677599214,2.374773322792719,1132000
1980-12-26,2.3286619186401367,2.3286619186401367,2.308487867364789,2.311369874689839,175200
1980-12-29,2.3142507076263428,2.3459527721143747,2.3056046900386975,2.3286607369390846,748000
1980-12-30,2.2969608306884766,2.3171348906819764,2.285432796406477,2.3142528821114765,624800
1980-12-31,2.2940759658813477,2.2940759658813477,2.259491906094192,2.2940759658813477,529600
1981-01-02,2.2883124351501465,2.291194440735978,2.247964356948507,2.291194440735978,329600
1981-01-05,2.3257803916931152,2.328662399613429,2.2998423204102925,2.2998423204102925,1220000
1981-01-06,2.276785373687744,2.3401895233347445,2.253729319270653,2.325779489324063,1285600
1981-01-07,2.2249093055725098,2.242201346807529,2.204735257464987,2.242201346807529,1818400
1981-01-08,2.1557414531707764,2.2220276208484875,2.121157365686753,2.2220276208484875,1088800
1981-01-09,2.178797960281372,2.1874439839332824,2.121157802601971,2.1557418972096114,1168800
1981-01-12,2.2018537521362305,2.216263789781101,2.18744371449136,2.18744371449136,913600
1981-01-13,2.2018537521362305,2.204735759665205,2.167269661788541,2.2018537521362305,2155200
1981-01-14,2.2594919204711914,2.276783950474797,2.219143850462777,2.219143850462777,1932800
1981-01-15,2.3228983879089355,2.3401904354616074,2.2508481897728023,2.2594942135491385,925600
1981-01-16,2.386301040649414,2.386301040649414,2.3459529554210423,2.3459529554210423,2078400
1981-01-19,2.3488340377807617,2.3834180972327483,2.3430700278720975,2.3834180972327483,694400
1981-01-20,2.24796462059021,2.3690088693912212,2.24796462059021,2.348834827924386,857600
1981-01-21,2.233556032180786,2.2652581177988362,2.2191459932634907,2.2479660710980816,1123200
1981-01-22,2.1903250217437744,2.2479651538949263,2.1903250217437744,2.2335551208571385,816800
1981-01-23,2.207618474960327,2.224910525678032,2.2018544580544255,2.2018544580544255,622400
1981-01-26,2.1586239337921143,2.2018540526264023,2.1586239337921143,2.2018540526264023,811200
1981-01-27,2.2133820056915283,2.2191460213313503,2.14997783365349,2.1586238571132226,1186400
1981-01-28,2.173032522201538,2.2364366541490632,2.173032522201538,2.213380606168145,992000
1981-01-29,2.173032522201538,2.1960885701824564,2.1557404862158496,2.173032522201538,867200
1981-01-30,2.1038646697998047,2.184560848915414,2.0981006570058325,2.1730328233274694,921600
1981-02-02,2.028932809829712,2.0721629123118794,1.9857027073475448,2.0721629123118794,1195200
1981-02-03,2.0692803859710693,2.072162392079664,2.0231682882335527,2.0289323004507422,1071200
1981-02-04,2.0635175704956055,2.08657363273578,2.0519895393755183,2.069281586055649,1243200
1981-02-05,2.0635175704956055,2.0721635938356706,2.0346974926953876,2.0635175704956055,692000
1981-02-06,2.0865728855133057,2.1096289394968784,2.051988804537947,2.0635168315297334,993600
1981-02-09,2.098100423812866,2.10962844811953,2.089454405582868,2.089454405582868,1492800
1981-02-10,2.121156692504883,2.1499767562617427,2.103864654250767,2.103864654250767,1980800
1981-02-11,2.0808091163635254,2.129803236831919,2.0750451021907734,2.1211572155727905,924800
1981-02-12,2.0692803859710693,2.0981004470570173,2.043342330993716,2.0808084104054485,1095200
1981-02-13,2.126919984817505,2.126919984817505,2.072161882227352,2.072161882227352,1030400
1981-02-17,2.1499760150909424,2.1787960689125367,2.1442120043266235,2.1442120043266235,706400
1981-02-18,2.1903250217437744,2.1903250217437744,2.13556689620018,2.149976929237968,836800
1981-02-19,2.100982189178467,2.1845603558261697,2.0865721604461043,2.1845603558261697,1189600
1981-02-20,2.0952186584472656,2.115392703301641,2.0750446135928904,2.1009826712628015,1437600
1981-02-23,2.0750443935394287,2.1038644545608096,2.069280381335153,2.0952184362543953,668000
1981-02-24,2.0231692790985107,2.083691437020261,2.011641249018177,2.075045414460011,1323200
1981-02-25,2.0721631050109863,2.080809126311449,1.9857028920063555,2.023168984308362,1172800
1981-02-26,2.0865728855133057,2.0952189057571453,2.0663988382776797,2.072162851773573,1412800
1981-02-27,2.1125102043151855,2.11539221005095,2.066398112542958,2.0865721526933076,1008000
1981-03-02,2.1326844692230225,2.1384484813020035,2.0865723725911733,2.1125104269465886,681600
1981-03-03,2.1153926849365234,2.1528587679122384,2.1153926849365234,2.1326847232330075,939200
1981-03-04,2.0923359394073486,2.144212037078605,2.075043906850263,2.1153919828167957,1152800
1981-03-05,2.0318148136138916,2.080808929686851,2.0289328067860706,2.080808929686851,805600
1981-03-06,1.97129225730896,2.023168369343406,1.936708182619329,2.023168369343406,5213600
1981-03-09,1.953999638557434,1.9770556814902653,1.9482356278242263,1.9712916707570576,980000
1981-03-10,1.9136532545089722,1.951119357383395,1.8848331753748009,1.951119357383395,1976800
1981-03-11,1.884832739830017,1.9251808412942681,1.856012667355552,1.9251808412942681,1252000
1981-03-12,1.9943479299545288,2.0174039753875292,1.8848317141477773,1.8848317141477773,1136400
1981-03-13,1.9251809120178223,2.011641132617425,1.890596823777981,1.9943490884975044,1385600
1981-03-16,1.953999638557434,1.9539996385574343,1.907887552691772,1.9251795848913953,497200
1981-03-17,1.9251809120178223,1.948236970844383,1.8963608384846211,1.948236970844383,717200
1981-03-18,1.890595555305481,1.9194156095022108,1.8905955553054807,1.9194156095022108,748800
1981-03-19,1.8560115098953247,1.8905955752971009,1.8098994226929563,1.8905955752971009,954400
1981-03-20,1.8444844484329224,1.8617764901369809,1.8329564206302165,1.856012476235628,733600
1981-03-23,1.9021236896514893,1.9194157231937756,1.8444835778438684,1.8444835778438684,2049600
1981-03-24,1.8617767095565796,2.005877074073343,1.856012694975909,1.9021248116212732,2768000
1981-03-25,1.9482356309890747,1.9482356309890747,1.856011459107935,1.8617754698505062,2232400
1981-03-26,1.9136532545089722,1.9482373494699778,1.8848331753748009,1.9482373494699778,798000
1981-03-27,1.890595555305481,1.9194156095022108,1.8733035227874428,1.9136515986628648,855600
1981-03-30,1.8675395250320435,1.9194156229496004,1.8560115032725866,1.8905955685509577,534800
1981-03-31,1.890595555305481,1.9251796203415568,1.8905955553054807,1.8905955553054807,939600
1981-04-01,1.890595555305481,1.9251796203415568,1.8790675336267888,1.8905955553054807,1246400
1981-04-02,1.890595555305481,1.9136515986628648,1.8790675336267888,1.8905955553054807,769200
1981-04-03,1.8963600397109985,1.9021240519897553,1.8848320151534848,1.8905960274322415,612000
1981-04-06,1.8444844484329224,1.867540504038334,1.8329564206302165,1.867540504038334,1215200
1981-04-07,1.8214290142059326,1.850249093544634,1.8214290142059326,1.8444850776768937,786000
1981-04-08,1.8099009990692139,1.838721078672227,1.8041369831486114,1.821429030910419,656000
1981-04-09,1.763787865638733,1.8156639793339897,1.7234397772090886,1.8098999667011835,1436000
1981-04-10,1.7292040586471558,1.758024126291275,1.6888559639453888,1.758024126291275,981600
1981-04-13,1.711911916732788,1.7292039562957455,1.6715638244192206,1.7292039562957455,1466800
1981-04-14,1.7349679470062256,1.7349679470062256,1.7061478814413382,1.7119118945543157,1261600
1981-04-15,1.8041359186172485,1.8041359186172485,1.7464957934218093,1.7464957934218093,838400
1981-04-16,1.775316596031189,1.83872076017516,1.7580245512646515,1.804136670642085,1538400
1981-04-20,1.7926088571548462,1.7983728727727075,1.7464967322119564,1.7753168103012626,1213200
1981-04-21,1.711911916732788,1.7868440881722703,1.7061479035451355,1.7868440881722703,1241200
1981-04-22,1.6830909252166748,1.7119109753060013,1.6600348851452136,1.7119109753060013,1595200
1981-04-23,1.6715636253356934,1.6946196753403235,1.6657996128345358,1.6830916503380084,1271600
1981-04-24,1.7061470746994019,1.7176750954743978,1.648506970824422,1.6715630123744138,1089200
1981-04-27,1.7580236196517944,1.7580236196517944,1.706147512842397,1.706147512842397,760400
1981-04-28,1.775316596031189,1.775316596031189,1.746496521420293,1.7580245512646515,889600
1981-04-29,1.8214290142059326,1.8214290142059326,1.752260823793049,1.7753168872640102,1080400
1981-04-30,1.9078879356384277,1.9309439831990132,1.8502478167369647,1.8502478167369647,2469200
1981-05-01,1.9136532545089722,1.9424733336431435,1.9021252228553038,1.907889238682138,1242400
1981-05-04,1.9021236896514893,1.9078877008322515,1.8848316561092031,1.9078877008322515,1037200
1981-05-05,1.9194161891937256,1.942472239514371,1.8848321137127575,1.9021241514532417,813200
1981-05-06,1.9597641229629517,1.9712921472156748,1.9424720865838667,1.9424720865838667,1184000
1981-05-07,1.9655284881591797,1.9943485539679653,1.9540004618356654,1.9597644749974226,877600
1981-05-08,1.9655284881591797,1.977056514482694,1.9597644749974226,1.9655284881591797,1269200
1981-05-11,1.8790684938430786,1.9482366592606153,1.8617764524886944,1.9482366592606153,678000
1981-05-12,1.9021236896514893,1.9021236896514893,1.8675396225669167,1.879067644928441,730800
1981-05-13,1.8617767095565796,1.9021248116212732,1.856012694975909,1.9021248116212732,678800
1981-05-14,1.8329558372497559,1.8675399096506948,1.8329558372497559,1.8617758975838716,497200
1981-05-15,1.8560115098953247,1.8617755207956206,1.8271914553938444,1.8329554662941405,524800
1981-05-18,1.8560115098953247,1.8848315643968048,1.8560115098953245,1.8560115098953245,512800
1981-05-19,1.8387207984924316,1.8560128436193197,1.8099007232809516,1.8560128436193197,614000
1981-05-20,1.850248098373413,1.8675401366759683,1.8214280345358211,1.8387200728383764,802400
1981-05-21,1.850248098373413,1.86177612390845,1.8214280345358211,1.850248098373413,784800
1981-05-22,1.8214290142059326,1.850249093544634,1.8214290142059326,1.850249093544634,461600
1981-05-26,1.8675395250320435,1.8675395250320437,1.8041354053550298,1.8214274379942152,1249600
1981-05-27,1.8329558372497559,1.8675399096506948,1.8329558372497559,1.8675399096506948,932400
1981-05-28,1.8099009990692139,1.8329570627516243,1.7983729672280089,1.8329570627516243,530800
1981-05-29,1.7407325506210327,1.815664746508693,1.7407325506210327,1.8099007314404114,1662000
1981-06-01,1.7061470746994019,1.7810792097368755,1.6888550435369079,1.7407311370243896,972000
1981-06-02,1.6888545751571655,1.717674619101827,1.6830905663682334,1.7061466015239626,760800
1981-06-03,1.6888545751571655,1.6946185839460979,1.6657985400014363,1.6888545751571655,1816400
1981-06-04,1.7176761627197266,1.729204190657443,1.694620106844294,1.694620106844294,1429200
1981-06-05,1.7580236196517944,1.7637876315195051,1.7003835009746864,1.7176755365778187,1278800
1981-06-08,1.7292040586471558,1.763788139820099,1.717676031589508,1.758024126291275,1198000
1981-06-09,1.7003837823867798,1.7292038464950303,1.6946197695651297,1.7292038464950303,1340800
1981-06-10,1.7061470746994019,1.7292031162493937,1.7003830643119038,1.7003830643119038,1812400
1981-06-11,1.6946196556091309,1.7234397177793541,1.6600355810048628,1.7061476804772202,526000
1981-06-12,1.6773273944854736,1.6946194294801693,1.6600353594907782,1.6946194294801693,1133200
1981-06-15,1.6657997369766235,1.7003838145609134,1.6600357240459087,1.6773277628380536,490000
1981-06-16,1.636980414390564,1.6600364765650788,1.6196883677596776,1.6600364765650788,1058000
1981-06-17,1.7176761627197266,1.7176761627197266,1.6196879252491383,1.6369799671557126,2024000
1981-06-18,1.6715636253356934,1.7119117128437962,1.6542715878322207,1.7119117128437962,1462800
1981-06-19,1.7176761627197266,1.734968204626301,1.6658000370000035,1.6715640509688614,1120000
1981-06-22,1.7061470746994019,1.7580231681868836,1.7061470746994019,1.7176750954743978,1000800
1981-06-23,1.7292040586471558,1.7292040586471558,1.6946199774742128,1.7061480045318604,775200
1981-06-24,1.7061470746994019,1.7407311370243896,1.6888550435369079,1.7292031162493937,919600
1981-06-25,1.7407325506210327,1.752260580757596,1.7119124752796249,1.7119124752796249,2009600
1981-06-26,1.7292040586471558,1.763788139820099,1.717676031589508,1.7407320857048036,1350400
1981-06-29,1.7061470746994019,1.7292031162493937,1.7003830643119038,1.7292031162493937,1722000
1981-06-30,1.7292040586471558,1.7522601127624513,1.7003839910030365,1.7061480045318604,2083200
1981-07-01,1.7522603273391724,1.763788355808509,1.7349682846351675,1.7349682846351675,668400
1981-07-02,1.7580236196517944,1.769551643387216,1.7464955959163728,1.7522596077840835,874000
1981-07-06,1.763787865638733,1.763787865638733,1.746495827740314,1.7580238530059267,1076400
1981-07-07,1.7926088571548462,1.7926088571548464,1.76378877906554,1.76378877906554,771200
1981-07-08,1.8271918296813965,1.8329558417624103,1.809899793438355,1.809899793438355,1340800
1981-07-09,1.8444844484329224,1.8444844484329224,1.8214283928275108,1.8271924067288636,615200
1981-07-10,1.8041359186172485,1.844484006254056,1.7983719060977046,1.844484006254056,565600
1981-07-13,1.815664291381836,1.8271923186287047,1.7983722505115327,1.8041362641349672,471600
1981-07-14,1.7983728647232056,1.8502490050517595,1.7753168023549593,1.8156649114993901,813200
1981-07-15,1.8214290142059326,1.913653268089777,1.809900982470452,1.809900982470452,1649200
1981-07-16,1.8271918296813965,1.8617759021674798,1.8271918296813965,1.8271918296813965,891200
1981-07-17,1.8617767095565796,1.8617767095565796,1.8387206512338976,1.8387206512338976,1369200
1981-07-20,1.8444844484329224,1.8502484623342752,1.8329564206302165,1.8502484623342752,720000
1981-07-21,1.8329558372497559,1.8617758975838716,1.8214278131161097,1.8444838613834023,1228000
1981-07-22,1.815664291381836,1.8560123867458767,1.8099002777584015,1.8329563322521392,657600
1981-07-23,1.8214290142059326,1.832957045941413,1.809900982470452,1.8156649983381923,524400
1981-07-24,1.8444844484329224,1.8444844484329224,1.815664378926158,1.8214283928275108,445200
1981-07-27,1.8963600397109985,1.9021240519897553,1.8502479414809438,1.8502479414809438,1050000
1981-07-28,1.8790684938430786,1.8963605351974628,1.8675404662734891,1.8963605351974628,912800
1981-07-29,1.9194161891937256,1.9540002646746937,1.890596126292919,1.890596126292919,791600
1981-07-30,1.953999638557434,1.9655276600238498,1.930943595624603,1.930943595624603,640800
1981-07-31,1.9597641229629517,1.9770561593420364,1.9540001108365899,1.9540001108365899,456400
1981-08-03,1.9597641229629517,1.9655281350893132,1.9251800502047818,1.9597641229629517,750400
1981-08-04,1.9597641229629517,1.9770561593420364,1.9367080744575051,1.9597641229629517,894000
1981-08-05,2.0001118183135986,2.0001118183135986,1.9597637412870994,1.9597637412870994,1184800
1981-08-06,2.0116403102874756,2.040460372039445,2.0058762979370814,2.0058762979370814,1356000
1981-08-07,1.9943479299545288,2.0116399640292792,1.9828199072380288,2.0116399640292792,827600
1981-08-10,2.0058765411376953,2.0058765411376953,1.9655284497929717,1.9943485150392029,807200
1981-08-11,2.0462253093719482,2.06351735423988,1.9943491747681523,2.005877204680107,1556400
1981-08-12,2.0519890785217285,2.0865731641147915,2.0519890785217285,2.0519890785217285,1282000
1981-08-13,2.0923359394073486,2.0923359394073486,2.0519878634408157,2.0519878634408157,1337600
1981-08-14,2.098100423812866,2.1153924602728624,2.086572399506202,2.092336411659534,1290000
1981-08-17,2.098100423812866,2.1153924602728624,2.098100423812866,2.098100423812866,875600
1981-08-18,2.0577518939971924,2.1038639812576334,2.046223872182082,2.0980999703500784,1290000
1981-08-19,2.0462253093719482,2.0692813691958576,2.040461294415971,2.0577533392839027,794400
1981-08-20,2.0577518939971924,2.0692799158123028,2.046223872182082,2.046223872182082,732400
1981-08-21,2.0058765411376953,2.0692806846794043,2.0058765411376953,2.057752658580912,1016800
1981-08-24,1.890595555305481,1.9655276962169785,1.8905955553054807,1.9655276962169785,1714000
1981-08-25,1.9367091655731201,1.9482371963205791,1.8675409810883656,1.8905970425832839,1624800
1981-08-26,1.9367091655731201,1.9482371963205791,1.9136531040782019,1.9367091655731201,901600
1981-08-27,1.884832739830017,1.9194168267993752,1.8790687253351241,1.9194168267993752,914400
1981-08-28,1.9251809120178223,1.9309449267244623,1.85601273553814,1.8848328090713409,792800
1981-08-31,1.9309430122375488,1.9597630571963183,1.9136509852622872,1.925179003245795,651600
1981-09-01,1.9424721002578735,1.9655281489256227,1.9136520394231868,1.9309440759239989,639200
1981-09-02,1.97129225730896,1.9828202822055037,1.936708182619329,1.942472195067601,444000
1981-09-03,1.9078879356384277,1.9770560783201836,1.9078879356384277,1.9712920664300373,536000
1981-09-04,1.8617767095565796,1.8905967824599323,1.8617767095565796,1.8905967824599323,925200
1981-09-08,1.815664291381836,1.8617764003693111,1.7926082368880982,1.8617764003693111,1221600
1981-09-09,1.8099009990692139,1.8329570627516243,1.7868449353868037,1.8156650149898166,847600
1981-09-10,1.890595555305481,1.8905955553054807,1.8214274252333291,1.8214274252333291,1007200
1981-09-11,1.9194161891937256,1.9251802017738868,1.8675400759722736,1.890596126292919,827200
1981-09-14,1.9021236896514893,1.9251797343745376,1.8963596784707273,1.9194157231937756,635600
1981-09-15,1.9136532545089722,1.9367093178163093,1.907889238682138,1.907889238682138,869600
1981-09-16,1.884832739830017,1.9136528123044823,1.8790687253351241,1.9136528123044823,853600
1981-09-17,1.8329558372497559,1.9021239820516336,1.8329558372497559,1.8848319458511642,790400
1981-09-18,1.8329558372497559,1.838719849316579,1.8098997889824635,1.8329558372497559,956400
1981-09-21,1.7926088571548462,1.8214289352441526,1.786844841536985,1.8214289352441526,835600
1981-09-22,1.7868443727493286,1.8099004291719007,1.7868443727493286,1.7926083868549716,1384800
1981-09-23,1.815664291381836,1.815664291381836,1.746496127900623,1.786844223264664,1234000
1981-09-24,1.775316596031189,1.8617768198638767,1.775316596031189,1.8156647004864432,836800
1981-09-25,1.7349679470062256,1.752259986345158,1.7234399207802706,1.752259986345158,1250400
1981-09-28,1.8214290142059326,1.8214290142059326,1.7003846809833865,1.734968776189828,1287600
1981-09-29,1.7926088571548462,1.8271929508620137,1.7753168103012626,1.8214289352441526,1250800
1981-09-30,1.763787865638733,1.7983719414355708,1.7522598403731202,1.7926079288027645,636400
1981-10-01,1.7810795307159424,1.7810795307159424,1.7522594735846164,1.763787496437147,740800
1981-10-02,1.890595555305481,1.9021235769841727,1.8098994035546372,1.8098994035546372,2172800
1981-10-05,1.9309430122375488,1.9597630571963183,1.9136509852622872,1.9136509852622872,1649600
1981-10-06,1.953999638557434,2.011639745889512,1.9136515634249798,1.930943595624603,1260400
1981-10-07,1.953999638557434,1.9655276600238498,1.9424716170910186,1.9539996385574343,671200
1981-10-08,1.9597641229629517,1.9712921472156748,1.9309440623311436,1.9540001108365899,842400
1981-10-09,1.9309430122375488,1.971291075179826,1.925179003245795,1.9597630571963183,798000
1981-10-12,1.9482356309890747,1.9539996417316459,1.907887555791076,1.930943598761361,523200
1981-10-13,1.9194161891937256,1.9540002646746937,1.9194161891937256,1.9482362520945322,398000
1981-10-14,1.9367091655731201,1.9482371963205791,1.9078890887044724,1.9194171194519314,452400
1981-10-15,1.9367091655731201,1.9482371963205791,1.9194171194519314,1.9367091655731201,616400
1981-10-16,1.9424721002578735,1.9597641367586855,1.9309440759239989,1.9367080880909362,405200
1981-10-19,1.9482356309890747,1.9482356309890747,1.9136515665336473,1.9424716202465033,736000
1981-10-20,1.9885839223861694,2.0289320019708166,1.9770558996476988,1.9770558996476988,1022800
1981-10-21,1.9655284881591797,1.9943485539679653,1.9597644749974226,1.9885845408062082,957200
1981-10-22,1.9655284881591797,1.977056514482694,1.9597644749974226,1.9655284881591797,1390800
1981-10-23,1.9482356309890747,1.982819695444502,1.9482356309890747,1.9655276632167884,869200
1981-10-26,1.9078879356384277,1.9597640426497447,1.9078879356384277,1.948236018869452,642400
1981-10-27,1.9078879356384277,1.9309439831990132,1.9078879356384277,1.9078879356384277,652000
