Price,Open,High,Low,Close,Volume
Ticker,,,,,,
,,,,,,
2006-05-25,3.6504138286675407,4.171254311532546,3.6413555229852617,4.166725158691406,395343000
2006-05-26,4.193898267037356,4.233753589569034,3.995525670570511,4.069802284240723,103044000
2006-05-30,4.07342694095389,4.074332685117797,3.881394924720934,3.985563278198242,49898000
2006-05-31,4.0172654950076945,4.108752111906456,4.0172654950076945,4.070708274841309,30002000
2006-06-01,4.069804161081656,4.356945837739432,4.067086496246329,4.303503036499023,62344000
2006-06-02,4.39317839207338,4.411294574707593,4.238284879377506,4.256401062011719,37253000
2006-06-05,4.2618362608778515,4.4611147158470175,4.257307106918576,4.452056407928467,37188000
2006-06-06,4.527238260823695,4.586115959396998,4.329771750490686,4.375061988830566,49045000
2006-06-07,4.377778153093088,4.384118792925792,4.234660236978202,4.311654090881348,25013000
2006-06-08,4.311654709412763,4.322524070739746,4.121434623296097,4.322524070739746,34439000
2006-06-09,4.420350899335057,4.420350899335057,4.318900235702165,4.327958106994629,13372000
2006-06-12,4.347887631891785,4.3705325335356635,4.1938998819400615,4.252777576446533,14546000
2006-06-13,4.1848410969953465,4.289009446720284,4.103318510171226,4.121434688568115,16716000
2006-06-14,4.067084199827115,4.116903995722201,4.025416961910942,4.08701229095459,15971000
2006-06-15,4.112376772044152,4.177595106821106,4.08791995049327,4.162196159362793,16500000
2006-06-16,4.12143634448095,4.166726592708032,4.076145664329932,4.0779571533203125,12280000
2006-06-19,4.116904238819652,4.116904238819652,3.9946197492276414,4.016359329223633,11509000
2006-06-20,4.052593598423814,4.076144677291621,3.937555868836207,3.987375259399414,23792000
2006-06-21,3.9873757255850446,4.1558562744611205,3.9855642368215247,4.1033196449279785,18063000
2006-06-22,4.202958872701561,4.2527787061695586,4.155856704583999,4.221075057983398,13038000
2006-06-23,4.256400553386124,4.341546990323689,4.245530758719727,4.252777576446533,11612000
2006-06-26,4.252775771385418,4.302595138549805,4.205673635772415,4.302595138549805,8565000
2006-06-27,4.302596519965578,4.350604414842726,4.279951188738901,4.285386085510254,9826000
2006-06-28,4.24372094319909,4.293540351148644,4.2120177228606455,4.253684997558594,8756000
2006-06-29,4.252776530298447,4.356038690379947,4.252776530298447,4.347886562347412,14470000
2006-06-30,4.316182930381953,4.347886562347412,4.221072898332987,4.347886562347412,25964000
2006-07-03,4.338829593344756,4.347887900100138,4.240096554869364,4.284481048583984,7029000
2006-07-05,4.293537483446542,4.333393242340464,4.231036829106503,4.311654090881348,13266000
2006-07-06,4.279950171244891,4.2890084743515935,4.238282927186123,4.2391886711120605,8097000
2006-07-07,4.234661827235264,4.243719702430507,4.1440804837396925,4.177595615386963,8380000
2006-07-10,4.184840426161918,4.218355545189355,4.177594042349516,4.211109161376953,4978000
2006-07-11,4.211110391021578,4.211110391021578,4.103319050575477,4.198429107666016,8079000
2006-07-12,4.202958045000034,4.202958045000034,4.125058420436755,4.125964164733887,7672000
2006-07-13,4.092448501311756,4.092448501311756,4.0127369750226425,4.05078125,16625000
2006-07-14,4.041721765055734,4.047156659893976,3.9765034589204373,3.981032609939575,9663000
2006-07-17,3.977411660811893,4.000962742357831,3.9629188869023384,3.9846584796905518,6458000
2006-07-18,3.9846568858632683,3.994620501969274,3.9556709177144067,3.976504325866699,12483000
2006-07-19,3.977409302805685,4.116904220624055,3.967445688621248,4.101505279541016,15840000
2006-07-20,4.1123771364292265,4.146798011263286,4.085203079819905,4.125964164733887,8829000
2006-07-21,4.1259620909666,4.1259620909666,4.055309320139148,4.101505279541016,8510000
2006-07-24,4.1169076561592295,4.124154044865059,4.0752403811957265,4.076146125793457,5017000
2006-07-25,4.0942600800193585,4.202957147082339,4.090636671681092,4.173971176147461,6900000
2006-07-26,4.179406524405914,4.334300012884961,4.1486090619351685,4.228320598602295,10338000
2006-07-27,4.248247521503459,4.272704338349098,4.213826656341553,4.213826656341553,6009000
2006-07-28,4.212922034068542,4.239190345993853,4.190276699278399,4.193900108337402,4339000
2006-07-31,4.19389968884352,4.203863306892459,4.154043920876385,4.15494966506958,4616000
2006-08-01,4.159480675720462,4.159480675720462,4.048971628241613,4.076146125793457,7390000
2006-08-02,4.346981890022978,4.533579042616081,4.2853869566581055,4.5308613777160645,53372000
