Price,Close,High,Low,Open,Volume
Ticker,BP,BP,BP,BP,BP
Date,,,,,
1980-12-12,2.024312973022461,2.044899206646418,1.993433622586525,2.0037267393985037,362800
1980-12-15,2.0277457237243652,2.072349267562634,2.0243146818906523,2.0243146818906523,403200
1980-12-16,2.024312973022461,2.038037128771766,1.9968646615238512,2.027744011959787,639200
1980-12-17,2.0860726833343506,2.106658926919887,2.0414691555656885,2.0414691555656885,828000
1980-12-18,2.16841721534729,2.2061586542220057,2.134106816370276,2.134106816370276,1474400
1980-12-19,2.1478326320648193,2.1821430574971648,2.127246376805412,2.1684188873242265,423200
1980-12-22,2.1100895404815674,2.1684172188363426,2.0723481015461247,2.14783097941701,366400
1980-12-23,2.0517616271972656,2.1169513778941687,2.0380374691558125,2.1100892988734423,474800
1980-12-24,2.0551939010620117,2.072349108917287,2.034607651635681,2.0517628594909567,258800
1980-12-26,2.038038492202759,2.0654868220640754,2.038038492202759,2.0551936983660815,81600
1980-12-29,2.0002965927124023,2.058624280664565,1.986572430841305,2.0380380378579193,342400
1980-12-30,2.01401948928833,2.044898834098543,1.990002221102609,2.0002953360393465,436000
1980-12-31,1.9762794971466064,2.0140209458768368,1.9556932523846626,2.0140209458768368,513600
1981-01-02,1.9694163799285889,1.9900026138651248,1.9488301459920532,1.9762784579074342,342000
1981-01-05,1.9007964134216309,1.969417222570426,1.8939343325067513,1.969417222570426,511200
1981-01-06,1.9007964134216309,1.91108953479395,1.825313523357956,1.9007964134216309,1352800
1981-01-07,1.8699175119400024,1.8699175119400024,1.7086585705433417,1.8699175119400024,1310800
1981-01-08,1.8184528350830078,1.8630563951888173,1.797866576572634,1.8630563951888173,849600
1981-01-09,1.8253123760223389,1.8493296441278961,1.7841399164128124,1.8184502994207512,1074800
1981-01-12,1.811588168144226,1.8630537411028687,1.7978640153552545,1.8253123209331974,830000
1981-01-13,1.8012964725494385,1.8184516770499095,1.791003349849156,1.811589595249721,658800
1981-01-14,1.8699175119400024,1.8802106358589383,1.8115898097326997,1.8115898097326997,801600
1981-01-15,1.9488309621810913,1.9762792855920925,1.880210153653588,1.880210153653588,648400
1981-01-16,1.9488309621810913,1.9968655281503436,1.9248136791964652,1.9488309621810913,1033600
1981-01-19,1.9145193099975586,1.9591228064670356,1.907657233617639,1.9488296918971564,351600
1981-01-20,1.856192708015442,1.9282445506555976,1.8390375073868335,1.9145203901527108,476800
1981-01-21,1.880210518836975,1.880210518836975,1.8390380257237566,1.8561932311875975,873200
1981-01-22,1.8047263622283936,1.8836402525919924,1.8047263622283936,1.8802092138805317,561600
1981-01-23,1.8047263622283936,1.8184505170742369,1.7841401299596287,1.8047263622283936,504800
1981-01-26,1.7841413021087646,1.8047275479023275,1.7463998514872332,1.8047275479023275,292400
1981-01-27,1.7841413021087646,1.8012965069367337,1.749830892452827,1.7841413021087646,1198800
1981-01-28,1.7292448282241821,1.7978656547410148,1.7052275389432907,1.7841414894376482,774000
1981-01-29,1.6709163188934326,1.7258129536004037,1.667485279224247,1.7258129536004037,794400
1981-01-30,1.646899700164795,1.6880721926689148,1.6263134539127349,1.6709169874588647,796000
1981-02-02,1.6144042015075684,1.6731726628044177,1.6005763282612508,1.6593447895581002,798800
1981-02-03,1.6697158813476562,1.676629818744541,1.6109474134741362,1.6144043821725786,723600
1981-02-04,1.652430772781372,1.6731725816447365,1.6178610913424312,1.6697156135008424,754000
1981-02-05,1.6144042015075684,1.6628017578696797,1.6074902648844096,1.6524308529349414,755600
1981-02-06,1.628232479095459,1.6455173249457293,1.5971197565649726,1.6144046024152428,984000
1981-02-09,1.5694639682769775,1.6455172883256415,1.5625500300907353,1.628232442860036,886000
1981-02-10,1.5625501871109009,1.5902059426349875,1.5521792787893682,1.5694641259919224,615200
