Price,Open,High,Low,Close,Volume
Ticker,,,,,,
,,,,,,
2000-01-04,-219541.1089199029,-235095.64092839806,-215096.95691747573,-228873.828125,441709
2000-01-05,-214652.48224431818,-221763.12347808442,-202208.86008522726,-205319.765625,353061
2000-01-06,-208875.11237157535,-211541.6031678082,-192431.7524614726,-194653.828125,310909
2000-01-07,-188431.97465437787,-199097.93548387097,-184876.6543778802,-192876.125,499628
2000-01-10,-195542.6511627907,-198209.1418604651,-191098.5,-191098.5,382932
2000-01-11,-195542.634529148,-207097.42656950673,-194653.8043721973,-198209.125,536613
2000-01-12,-195542.6894358407,-206208.6543141593,-193765.02862278762,-200875.671875,329356
2000-01-13,-204431.00398936172,-209319.57147606384,-199986.8517287234,-208875.15625,532408
2000-01-14,-215541.31887335525,-218652.22450657893,-200875.6208881579,-202653.28125,587523
2000-01-17,-210652.84563253014,-227096.21121987954,-207986.35391566265,-221318.8125,975008
2000-01-18,-222207.578125,-228429.3903125,-213763.69015625,-222207.578125,694337
2000-01-19,-222207.5573979592,-227540.5387755102,-217763.40625,-217763.40625,634599
2000-01-20,-216430.15572916667,-239984.15625,-211986.0046875,-239984.15625,1155922
2000-01-21,-235539.96681156015,-252427.73801691728,-234651.1367481203,-236428.796875,1487560
2000-01-24,-243539.47708333336,-247539.21302083335,-238206.49583333335,-239984.15625,582556
2000-01-25,-235540.0126689189,-238206.50337837837,-229318.20101351352,-230207.03125,497451
2000-01-26,-232429.08763586957,-236428.82336956522,-229318.1820652174,-235095.578125,433723
2000-01-27,-235539.99459134616,-238206.48509615383,-226651.69290865384,-231095.84375,428171
2000-01-28,-231095.84047833935,-248872.44359205777,-229318.1801669675,-246205.953125,803937
2000-01-31,-240428.60017163825,-242650.67595880682,-233762.37281013257,-234651.203125,612623
2000-02-01,-231095.85969387757,-233762.35038265307,-217763.40625,-217763.40625,929803
2000-02-02,-217318.97208420502,-217763.38716004184,-206208.5951882845,-212430.40625,769984
2000-02-03,-209763.97342733186,-214208.1254067245,-202208.91506236442,-204875.40625,756656
2000-02-04,-204875.40625,-204875.40625,-204875.40625,-204875.40625,0
2000-02-07,-201320.03192934784,-210208.33355978262,-198209.12635869565,-204430.9375,640018
2000-02-08,-210652.75471698114,-215541.320754717,-207986.2641509434,-211986.0,541880
2000-02-09,-214208.09308226497,-215985.75360576922,-206208.62072649572,-207986.28125,324604
2000-02-10,-204430.97773605149,-211986.03560890557,-202653.31706008583,-207097.46875,405709
2000-02-11,-209319.50196188342,-211097.16227578477,-196431.46468609865,-198209.125,381418
2000-02-14,-191098.48086124402,-194209.38636363635,-184876.66985645934,-185765.5,436423
2000-02-15,-189320.8504830211,-192876.17161885247,-183099.03849531617,-189765.265625,405761
2000-02-16,-189765.23564593302,-191098.48086124402,-176877.1985645933,-185765.5,452685
2000-02-17,-177766.05603448275,-182210.2074353448,-175988.3954741379,-180432.546875,507389
2000-02-18,-179543.7165948276,-185321.11341594826,-178210.47117456896,-180432.546875,498342
2000-02-21,-175099.5543514785,-175988.3845766129,-164878.0067624328,-165322.421875,447937
2000-02-22,-162655.97169642858,-164433.6325892857,-153323.25200892857,-155545.328125,546818
2000-02-23,-163544.7614247312,-175543.96946404572,-156878.53473622314,-165322.421875,548566
2000-02-24,-156434.10056657225,-162211.49632613314,-154656.44033286118,-156878.515625,278380
2000-02-25,-156878.5087890625,-161322.6591796875,-151989.943359375,-156434.09375,298333
2000-02-28,-149323.46153846153,-152434.3669871795,-138657.5,-138657.5,344637
2000-02-29,-150212.35143156425,-159100.65625,-144879.3685405028,-159100.65625,584423
2000-03-01,-159100.65625,-159100.65625,-159100.65625,-159100.65625,0
2000-03-02,-182654.59375,-182654.59375,-182654.59375,-182654.59375,122128
2000-03-03,-209763.921875,-209763.921875,-194209.3937698623,-209763.921875,1321446
2000-03-06,-205319.81714527027,-208430.72346565317,-194653.85261824325,-197320.34375,532428
2000-03-07,-195542.70044543428,-204431.00501113586,-191098.54816258352,-199542.4375,318175
2000-03-08,-191098.53511388286,-207541.89743763558,-191098.53511388286,-204875.40625,409675
2000-03-09,-205319.79416666666,-208875.11527777778,-199986.8125,-199986.8125,297304
2000-03-10,-204430.91903073288,-206208.5791962175,-183987.82712765958,-187987.5625,271418
